Case Name,Case URL,Case Number,Last Updated,Enforcement Authority,Location,Sectors,Complaint Types,Topics,Dispositions
Insufficient evidence of an actual disclosure of personal information may be grounds to discontinue an investigation - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/disc/2013/pipeda-2013-002/,#2013-002,"May 21, 2014",OPC,Canada,Financial Institutions; Financial Institutions,Access; Collection; Identifying Purposes,Access to personal information,Well-founded and resolved
Report of Findings,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2011/pipeda-2011-001/,#2011-001,"June 6, 2011",OPC,Canada,Telecommunications,Collection; Consent; Identifying Purposes,Consent; Internet and online,Well-founded
Individual complains about inappropriate personal information safeguards and disclosure - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-107/,#2002-107,"December 19, 2002",OPC,Canada,Transportation,Collection; Safeguards; Use and Disclosure,Consent; Privacy at work,Well-founded
Couple's safety deposit box opened in error - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-344/,#2006-344,"October 16, 2006",OPC,Canada,Financial Institutions,Safeguards,N/A,Resolved
Canadian-based company shares customer personal information with U.S. parent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-333/,#2006-333,"July 19, 2006",OPC,Canada,Other,Use and Disclosure,Consent; Personal information transferred across borders,Not well-founded
Airline must ensure policies comply with Canadian privacy law - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2011/pipeda-2011-002/,#2011-002,"September 19, 2011",OPC,Canada,Transportation,Access; Openness,Access to personal information,Well-founded
Reason for collecting telephone number not clearly explained - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-338/,#2006-338,"September 7, 2006",OPC,Canada,Sales,Consent,N/A,Resolved
Insurance company requires property owners to collect tenant personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-343/,#2006-343,"October 16, 2006",OPC,Canada,Insurance,Collection,Consent,Not well-founded
Bank exceeds time limits in responding to an access request - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-222/,#2003-222,"September 16, 2003",OPC,Canada,Financial Institutions,Access,Access to personal information,Resolved
Bank does not obtain the meaningful consent of customers for disclosure of personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-192/,#2003-192,"July 23, 2003",OPC,Canada,Financial Institutions,Collection,Consent,Well-founded
Publicly available information about individual’s bankruptcy cannot be disclosed for debt-collection purposes without her consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2009/pipeda-2009-020/,#2009-020,"July 21, 2010",OPC,Canada,Services,Use and Disclosure,Consent,Well-founded
Parking lot owner collects debtors' personal information from provincial vehicle registry - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2007/pipeda-2007-375/,#2007-375,"May 21, 2008",OPC,Canada,Other,Collection,N/A,Not well-founded
Customer calls toll-free number to withdraw consent but is unable to reach the call centre - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-249/,#2003-249,"December 12, 2003",OPC,Canada,Financial Institutions,Consent,Consent,Well-founded
Ticketmaster Investigation - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2008/bg_20080212/,#2008-388,"April 18, 2008",OPC,Canada,Sales,Access; Accountability; Consent; Openness,N/A,Well-founded and resolved
Bank acted in accordance with section 7(3)(c) - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-174/,#2003-174,"April 28, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Not well-founded
Bank employee uses customer's information to commit fraud - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-121/,#2003-121,"January 23, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,Identity theft; Privacy breaches,Well-founded
Bank employee improperly accessed customer's account - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-212/,#2003-212,"August 6, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,Privacy breaches,Well-founded
Bank accused of collecting and disclosing personal information without consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-208/,#2003-208,"September 4, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Not well-founded
Sobeys Refuses to Respond to Customer's Requests for Access to Personal Information and Does Not Participate in Subsequent OPC Investigation - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2014/pipeda-2014-016/,#2014-016,"July 29, 2015",OPC,Canada,Sales,Access,Access to personal information,Well-founded
Employee accuses company of denying access request - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-136/,#2003-136,"March 6, 2003",OPC,Canada,Telecommunications,Access,Access to personal information,Not well-founded
Former employee encounters delays in accessing personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-201/,#2003-201,"August 1, 2003",OPC,Canada,Financial Institutions,Access,Access to personal information,Well-founded
Daughter racks up long-distance charges; mom blames phone company - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-254/,#2003-254,"December 23, 2003",OPC,Canada,Telecommunications,Use and Disclosure,Privacy breaches,Well-founded
"Web posting that was removed by individual retained by Internet search engine - January 23, 2014 - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/ser/2014/er_005_140123/,#5,"November 19, 2014",OPC,Canada,Services,Retention and Disposal,Consent; Internet and online,Early resolved
Alleged improper disclosure of credit card number to third party - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-144/,#2003-144,"April 1, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Not well-founded
Access request sent to wrong location - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-239/,#2003-239,"December 4, 2003",OPC,Canada,Telecommunications,Access,Access to personal information,Resolved
Bank improves consent procedures for credit bureau inquiries - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-246/,#2003-246,"December 4, 2003",OPC,Canada,Financial Institutions,Collection,Consent,Resolved
Telecommunications company improves its collection and disclosure practices - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-072/,#2002-72,"October 7, 2002",OPC,Canada,Telecommunications,Use and Disclosure,Consent; Privacy at work; Privacy breaches; Surveillance and monitoring,Well-founded
Individual objects to bank's requirement to provide Notice of Assessment for income verification purposes - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-169/,#2003-169 (update),"April 4, 2008",OPC,Canada,Financial Institutions,Collection,N/A,Well-founded
Automobile dealer performs credit checks of potential client without her consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2015/pipeda-2015-005/,#2015-005,"November 5, 2015",OPC,Canada,Sales,Consent,Consent,Well-founded and resolved
Airline ticket seller was mistaken in its collection of exact age information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2009/pipeda-2009-006/,#2009-006,"June 8, 2009",OPC,Canada,Other,Collection,Internet and online,Resolved
Individual objects to being photographed by private investigation firm - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2008/pipeda-2008-392/,#2008-392,"September 17, 2008",OPC,Canada,Other,Collection,Consent; Surveillance and monitoring,Well-founded
Employee alleges non-consensual disclosure by employer to investment firm - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2001/pipeda-2001-017/,#2001-17,"October 18, 2001",OPC,Canada,Financial Institutions,Use and Disclosure,Consent; Privacy at work,No jurisdiction
Telecommunications company does not improperly collect or use employee statistics - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-153/,#2003-153,"April 14, 2003",OPC,Canada,Telecommunications,Collection; Use and Disclosure,Consent; Privacy at work,Not well-founded
Airline provided a fair and reasonable response to complaint regarding access to personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/disc/2014/pipeda-2014-003/,#2014-003,"November 18, 2014",OPC,Canada,Health; Insurance; Transportation,Access; Safeguards,Access to personal information; Privacy breaches,Well-founded and resolved
Fees for access questioned - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-354/,#2006-354,"January 24, 2007",OPC,Canada,Professionals,Fee,Access to personal information,Well-founded and resolved
Company accused of withholding telephone records - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-055/,#2002-55,"July 2, 2002",OPC,Canada,Telecommunications,Access,Access to personal information,Resolved
Alleged disclosure of personal information without consent for secondary marketing by a telecommunications company - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-081/,#2002-81,"October 16, 2002",OPC,Canada,Sales,Consent; Use and Disclosure,Consent,Not well-founded
Bank discloses a customer's personal information without consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-158/,#2003-158,"April 16, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Well-founded
Air Canada allows 1% of Aeroplan membership to opt out of information sharing practices - Aeroplan membership - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-042/,#2002-42 (Update),"January 17, 2005",OPC,Canada,Transportation,Use and Disclosure,Consent,Well-founded
"Facebook didn’t get non-members’ consent to use email addresses to suggest friends, investigation finds - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2012/pipeda-2012-002/,#2012-002,"April 4, 2012",OPC,Canada,Social Networking,Consent; Use and Disclosure,Internet and online; Social Networking,Well-founded and resolved
Employer's practice of collecting personal medical information to support a transfer request deemed appropriate - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-119/,#2003-119,"February 17, 2003",OPC,Canada,Telecommunications,Collection,Consent; Health/medical Information; Privacy at work,Not well-founded
Consent provided extends to third-party doctor hired to evaluate accident insurance claim - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2017/pipeda-2017-004/,#2017-004,"December 20, 2017",OPC,Canada,Professionals,Consent,Consent; Health/medical Information,Not well-founded
Bank accused of improperly disclosing unlisted phone number to another financial institution - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-230/,#2003-230,"September 16, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Not well-founded
Organizations must respond within 30 days to requests about how personal information is used and disclosed - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2015/pipeda-2015-012/,#2015-012,"May 20, 2016",OPC,Canada,Financial Institutions,Consent,Access to personal information,Well-founded and resolved
Individual alleges that a bank forced him to provide personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-095/,#2002-95,"December 3, 2002",OPC,Canada,Financial Institutions,Collection,Consent,Not well-founded
Denial of access and inappropriate disclosure allegations are made against a physician - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-294/,#2005-294,"April 27, 2005",OPC,Canada,Professionals,Access; Use and Disclosure,Access to personal information; Consent; Health/medical Information,Not well-founded
Internet posting violates PIPEDA - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-305/,#2005-305,"July 14, 2005",OPC,Canada,Other,Use and Disclosure,Consent; Internet and online,Well-founded
A woman's activities recorded and videotaped by a private investigator hired by an insurance company - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-311/,#2005-311,"August 31, 2005",OPC,Canada,Insurance,Collection,Consent; Surveillance and monitoring,Not well-founded
Landlord collected tenant’s personal information as part of investigation into breach of rental agreement - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2014/pipeda-2014-006/,#2014-006,"September 29, 2014",OPC,Canada,Accommodations,Collection,Consent,Not well-founded
Investment dealer needs personal information to comply with securities regulations - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-347/,#2006-347,"November 1, 2006",OPC,Canada,Financial Institutions,Collection,N/A,Not well-founded
Individual denied access to personal information in employment file - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-110/,#2002-110,"December 19, 2002",OPC,Canada,Transportation,Access,Access to personal information; Privacy at work,Well-founded
Operator of website that shamed debtors for profit takes down website after OPC takes the matter to Federal Court - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2017/pipeda-2017-007/,#2017-007,"April 17, 2018",OPC,Canada,Services,Appropriate Purposes; Consent; Use and Disclosure,Consent; Internet and online; OPC Privacy Priorities,Well-founded
TJX Companies Inc. /Winners Merchant International L.P. - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2007/tjx_rep_070925/,#2007-389,"September 25, 2007",OPC,Canada,Sales,Collection; Consent; Identifying Purposes; Retention and Disposal; Safeguards; Use and Disclosure,Driver's licences; Internet and online; Mobile devices and apps; Privacy breaches,Well-founded and resolved
Test administrator revises measures aimed at preventing exam fraud - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2010/pipeda-2010-007/,#2010-007,"May 31, 2013",OPC,Canada,Services; Educational Support Services,Collection,Biometrics,Well-founded
Bank improves safeguards after individual's personal information used fraudulently to open credit card account - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2007/pipeda-2007-381/,#2007-381,"May 21, 2008",OPC,Canada,Financial Institutions,Correction; Use and Disclosure,Consent; Identity theft,Well-founded and resolved
"Condo security company did not misuse security camera system, but improved personal information safeguards - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2007/pipeda-2007-376/,#2007-376,"May 21, 2008",OPC,Canada,Services,Collection; Use and Disclosure,Surveillance and monitoring,Well-founded and resolved
Organization uses biometrics for authentication purposes - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2004/pipeda-2004-281/,#2004-281,"October 26, 2004",OPC,Canada,Telecommunications,Collection,Biometrics; Consent; Privacy at work,Resolved
Rent-to-own business uses spyware to covertly collect large amounts of sensitive personal information for recovery of missing laptops - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2013/pipeda-2013-016/,#2013-016,"July 2, 2014",OPC,Canada,Consumer Goods Rental,Appropriate Purposes,Consent,Well-founded and resolved
Credit reporting agency takes remedial action after failing to maintain accurate records  - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2016/pipeda-2016-010/,#2016-010,"January 19, 2017",OPC,Canada,Financial Institutions,Accuracy; Use and Disclosure,Access to personal information; Consent,Well-founded and resolved
Income tax preparation company mails personal information to wrong clients - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-337/,#2006-337,"September 7, 2006",OPC,Canada,Financial Institutions,Use and Disclosure,Privacy breaches; Social Insurance Number (SIN),Well-founded and resolved
Railway employee denied access to letter in employment file - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-103/,#2002-103,"December 19, 2002",OPC,Canada,Transportation,Access,Access to personal information; Privacy at work,Well-founded
Credit Bureau Purges Loan History from Individuals Credit Report without his Knowledge - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2011/pipeda-2011-009/,#2011-009,"June 5, 2012",OPC,Canada,Social Networking,Consent,N/A,Not well-founded
Bank continues to send solicitations despite being informed to stop - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2004/pipeda-2004-271/,#2004-271,"July 23, 2004",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Well-founded
Bank improperly invokes time extension provision in response to access request - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-199/,#2003-199,"August 1, 2003",OPC,Canada,Financial Institutions,Access,Access to personal information,Well-founded
Bank retrieves overpayment of wages from employee's account - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-327/,#2006-327,"June 14, 2006",OPC,Canada,Financial Institutions,Use and Disclosure,Consent; Privacy at work,Well-founded and resolved
Bank loses customer's personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2001/pipeda-2001-011/,#2001-11,"September 7, 2001",OPC,Canada,Financial Institutions,Safeguards,Identity theft; Social Insurance Number (SIN),Resolved
Bank improves credit card application process - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2004/pipeda-2004-266/,#2004-266,"June 16, 2004",OPC,Canada,Financial Institutions,Access; Collection; Use and Disclosure,Access to personal information; Consent,Well-founded
Allegations of an inappropriate disclosure and blood testing - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-318/,#2005-318,"February 13, 2006",OPC,Canada,Transportation,Collection; Use and Disclosure,Consent; Health/medical Information; Privacy at work,Not well-founded
Company's collection of medical information unnecessary; safeguards are inappropriate - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-226/,#2003-226,"October 31, 2003",OPC,Canada,Telecommunications,Collection; Use and Disclosure,Health/medical Information,Well-founded
Bank Disclosed Personal Information without Consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2009/pipeda-2009-024/,#2009-024:,"April 19, 2013",OPC,Canada,Financial Institutions,Use and Disclosure,N/A,Well-founded and resolved
"Application form asks for consent to open-ended collection, use and disclosure of personal information - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-184/,#2003-184,"July 10, 2003",OPC,Canada,Financial Institutions,Collection,Consent; Social Insurance Number (SIN),Well-founded
Individual objects to bank's ongoing collection and disclosure of personal information with credit bureaus - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-206/,#2003-206,"August 5, 2003",OPC,Canada,Financial Institutions,Collection; Use and Disclosure,Consent; Social Insurance Number (SIN),Not well-founded
Company denied customer access to his personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-196/,#2003-196,"August 1, 2003",OPC,Canada,Telecommunications,Access,Access to personal information,Well-founded
Use of sensitive health information for targeting of Google ads raises privacy concerns - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2014/pipeda-2014-001/,#2014-001,"January 15, 2014",OPC,Canada,Financial Institutions; Marketing; Transportation,Appropriate Purposes; Use and Disclosure; Use and Disclosure,Privacy at work,Well-founded and conditionally resolved
Apple called upon to be more open about its collection and use of information for downloads - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2014/pipeda-2014-007/,#2014-007,"December 2, 2014",OPC,Canada,Computer Electronics Products,Collection,N/A,Well-founded and conditionally resolved
Bank customer requests credit score information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2001/pipeda-2001-007/,#2001-7,"July 23, 2001",OPC,Canada,Financial Institutions,Access,Access to personal information,Not well-founded
Individual claims that bank collected unnecessary information and retained it for too long - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-139/,#2003-139,"March 6, 2003",OPC,Canada,Financial Institutions,Collection; Retention and Disposal,N/A,Well-founded
